ID,Key,Gemiddelde WOZ,Meest voorkomende postcode
465,BU00342004,578,      1326
466,BU00342005,,         .
467,WK003421  ,374,         .
468,BU00342101,350,      1318
469,BU00342102,416,      1318
470,BU00342103,,      1318
471,WK003422  ,315,         .
472,BU00342201,303,      1317
473,BU00342202,289,      1317
474,BU00342203,393,      1316
475,BU00342204,312,      1316
476,BU00342205,313,      1316
477,BU00342206,,      1317
478,WK003423  ,336,         .
479,BU00342301,383,      1318
480,BU00342302,354,      1318
481,BU00342303,317,      1318
482,BU00342304,156,      1318
483,WK003424  ,387,         .
484,BU00342401,383,      1328
485,BU00342402,388,      1328
486,BU00342403,454,      1328
487,BU00342404,350,      1328
488,BU00342405,381,      1328
489,BU00342406,379,      1328
490,BU00342407,,      1328
491,BU00342408,,         .
492,WK003425  ,228,         .
493,BU00342501,206,      1314
494,BU00342502,212,      1314
495,BU00342503,282,      1312
496,WK003426  ,312,         .
497,BU00342601,366,      1313
498,BU00342602,315,      1313
499,BU00342603,302,      1314
500,BU00342604,262,      1314
501,BU00342605,355,      1314
502,BU00342606,302,      1313
503,BU00342607,367,      1313
504,BU00342608,,      1314
505,BU00342609,,      1312
506,WK003427  ,309,         .
507,BU00342701,286,      1324
508,BU00342702,314,      1324
509,BU00342703,302,      1324
510,BU00342704,312,      1324
511,BU00342705,337,      1324
512,BU00342706,,      1324
513,BU00342707,,      1324
514,BU00342708,,      1324
515,WK003428  ,370,         .
516,BU00342801,400,      1312
517,BU00342802,423,      1312
518,BU00342803,647,      1312
519,BU00342804,348,      1312
520,BU00342805,319,      1312
521,BU00342806,315,      1311
522,BU00342807,389,      1311
523,BU00342808,351,      1311
524,BU00342809,391,      1311
525,BU00342810,,      1312
526,WK003429  ,350,         .
527,BU00342901,321,      1323
528,BU00342902,366,      1323
529,BU00342903,347,      1323
530,BU00342904,506,      1323
531,WK003430  ,406,         .
532,BU00343001,420,      1321
533,BU00343002,353,      1321
534,BU00343003,387,      1321
535,BU00343004,543,      1321
536,BU00343005,354,      1321
537,BU00343006,159,      1321
538,BU00343007,,      1321
539,WK003431  ,547,         .
540,BU00343101,703,      1316
541,BU00343102,633,      1319
542,BU00343103,484,      1319
543,BU00343104,474,      1319
544,BU00343105,589,      1319
545,WK003432  ,258,         .
546,BU00343201,258,      1325
547,WK003434  ,187,         .
548,BU00343401,,      1316
